season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_out_break,rec_route_vertical,rec_route_other
2023,00-0033908,97,8.221052631578948,17,35,48,17,30,21,0.17525773195876287,0.36082474226804123,0.4948453608247423,0.17525773195876287,0.30927835051546393,0.21649484536082475,0.08421052631578947,0.2,0.10526315789473684,0.42105263157894735,0.18947368421052632,0
2023,00-0033921,131,9.076923076923077,31,35,31,33,66,17,0.2366412213740458,0.26717557251908397,0.2366412213740458,0.25190839694656486,0.5038167938931297,0.1297709923664122,0.168,0.32,0.072,0.224,0.216,0
2023,00-0033923,21,-0.2857142857142857,0,20,11,2,8,1,0,0.9523809523809523,0.5238095238095238,0.09523809523809523,0.38095238095238093,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.6666666666666666,0.19047619047619047,0,0
2023,00-0033925,16,1.3125,0,14,9,3,4,2,0,0.875,0.5625,0.1875,0.25,0.125,0.125,0,0.375,0.4375,0.0625,0
2023,00-0033943,64,10.078125,19,16,20,16,28,12,0.296875,0.25,0.3125,0.25,0.4375,0.1875,0.1111111111111111,0.4603174603174603,0.07936507936507936,0.12698412698412698,0.2222222222222222,0
2023,00-0033948,20,-1.35,0,20,9,2,9,1,0,1,0.45,0.1,0.45,0.05,0.15,0.05,0.4,0.4,0,0
2023,00-0034054,12,7.666666666666667,0,3,4,7,1,4,0,0.25,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0.6666666666666666,0
2023,00-0034073,2,8.5,1,1,0,0,2,1,0.5,0.5,0,0,1,0.5,0,0,1,0,0,0
2023,00-0034115,17,2.7058823529411766,1,13,8,2,7,1,0.058823529411764705,0.7647058823529411,0.47058823529411764,0.11764705882352941,0.4117647058823529,0.058823529411764705,0,0.17647058823529413,0.29411764705882354,0.4117647058823529,0.11764705882352941,0
2023,00-0034159,22,2.8181818181818183,0,15,7,9,6,2,0,0.6818181818181818,0.3181818181818182,0.4090909090909091,0.2727272727272727,0.09090909090909091,0.19047619047619047,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.14285714285714285,0
