season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_in_break,rec_route_other,rec_route_screen,rec_route_vertical,rec_route_out_break,rec_route_hitch
2019,00-0033217,11,4.363636363636363,1,8,2,1,8,1,0.09090909090909091,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.09090909090909091,0,0.9090909090909091,0,0.09090909090909091,0,0
2019,00-0033246,7,3.4285714285714284,0,5,2,1,4,0,0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.5714285714285714,0,0.14285714285714285,0.8571428571428571,0,0,0,0
2019,00-0033251,73,11.25,28,15,28,13,31,13,0.3835616438356164,0.2054794520547945,0.3835616438356164,0.1780821917808219,0.4246575342465753,0.1780821917808219,0.041666666666666664,0.6666666666666666,0.06944444444444445,0.2222222222222222,0,0
2019,00-0033258,3,7.333333333333333,1,2,1,1,1,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.6666666666666666,0,0.3333333333333333,0,0
2019,00-0033280,142,0.7816901408450704,4,120,54,21,67,14,0.028169014084507043,0.8450704225352113,0.38028169014084506,0.14788732394366197,0.47183098591549294,0.09859154929577464,0.014084507042253521,0.8450704225352113,0.11971830985915492,0.02112676056338028,0,0
2019,00-0033282,105,14.647619047619047,45,24,33,9,63,14,0.42857142857142855,0.22857142857142856,0.3142857142857143,0.08571428571428572,0.6,0.13333333333333333,0.047619047619047616,0.5714285714285714,0.0761904761904762,0.3047619047619048,0,0
2019,00-0033288,107,5.91588785046729,13,50,32,34,41,17,0.12149532710280374,0.4672897196261682,0.29906542056074764,0.3177570093457944,0.38317757009345793,0.1588785046728972,0.07476635514018691,0.616822429906542,0.1308411214953271,0.17757009345794392,0,0
2019,00-0033293,68,2.735294117647059,7,53,29,8,31,12,0.10294117647058823,0.7794117647058824,0.4264705882352941,0.11764705882352941,0.45588235294117646,0.17647058823529413,0.014705882352941176,0.6911764705882353,0.16176470588235295,0.1323529411764706,0,0
2019,00-0033296,2,-0.5,0,2,0,1,1,1,0,1,0,0.5,0.5,0.5,0,1,0,0,0,0
2019,00-0033307,46,8.568181818181818,7,13,6,18,20,8,0.15217391304347827,0.2826086956521739,0.13043478260869565,0.391304347826087,0.43478260869565216,0.17391304347826086,0.22727272727272727,0.6363636363636364,0,0.13636363636363635,0,0
2019,00-0033308,22,-0.5454545454545454,0,20,10,8,4,2,0,0.9090909090909091,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.5,0.4090909090909091,0,0,0
2019,00-0033338,3,2.6666666666666665,0,2,0,0,3,1,0,0.6666666666666666,0,0,1,0.3333333333333333,0,1,0,0,0,0
2019,00-0033357,22,4.7272727272727275,3,12,9,5,8,6,0.13636363636363635,0.5454545454545454,0.4090909090909091,0.22727272727272727,0.36363636363636365,0.2727272727272727,0,0.6818181818181818,0.18181818181818182,0.13636363636363635,0,0
2019,00-0033367,4,7.75,1,1,0,2,2,2,0.25,0.25,0,0.5,0.5,0.5,0.25,0.5,0,0.25,0,0
2019,00-0033374,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
2019,00-0033375,31,10.161290322580646,8,11,11,6,14,5,0.25806451612903225,0.3548387096774194,0.3548387096774194,0.1935483870967742,0.45161290322580644,0.16129032258064516,0.1935483870967742,0.5806451612903226,0,0.22580645161290322,0,0
2019,00-0033376,11,-0.09090909090909091,0,11,5,0,6,1,0,1,0.45454545454545453,0,0.5454545454545454,0.09090909090909091,0,1,0,0,0,0
2019,00-0033382,4,10.25,1,0,1,1,2,1,0.25,0,0.25,0.25,0.5,0.25,0,0.75,0,0.25,0,0
2019,00-0033386,2,5,0,1,1,0,1,0,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0
2019,00-0033387,59,5.762711864406779,6,31,17,15,27,12,0.1016949152542373,0.5254237288135594,0.288135593220339,0.2542372881355932,0.4576271186440678,0.2033898305084746,0,0.7796610169491526,0.03389830508474576,0.1864406779661017,0,0
2019,00-0033421,3,0.6666666666666666,0,3,1,2,0,1,0,1,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0.3333333333333333,0,0,0
2019,00-0033434,11,12.272727272727273,2,0,6,0,5,0,0.18181818181818182,0,0.5454545454545454,0,0.45454545454545453,0,0,0.8181818181818182,0,0.18181818181818182,0,0
2019,00-0033439,3,9,0,0,2,1,0,1,0,0,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0
2019,00-0033455,24,9.25,6,9,4,11,9,4,0.25,0.375,0.16666666666666666,0.4583333333333333,0.375,0.16666666666666666,0.08333333333333333,0.7083333333333334,0,0.20833333333333334,0,0
2019,00-0033460,56,15.625,22,12,22,13,21,2,0.39285714285714285,0.21428571428571427,0.39285714285714285,0.23214285714285715,0.375,0.03571428571428571,0.03571428571428571,0.7142857142857143,0.03571428571428571,0.21428571428571427,0,0
