season,team,team_projected_pass_attempts_pg,team_projected_carries_pg
2023,MIN,38.432256614552784,26.02033533064668
2023,NE,34.57906697124873,25.506627663084465
2023,NO,32.73574688306995,26.68803601603126
2023,NYG,32.13323385343721,28.88727441497432
2023,NYJ,33.404560602285784,26.456510880867498
2023,PHI,31.97691364306139,29.80786921539449
2023,PIT,31.844521409625013,27.891789215686273
2023,SEA,32.13005030610729,27.678833346239138
2023,SF,32.79223204797653,27.59122069606972
2023,TB,37.74056298913025,25.343281456212292
2023,TEN,32.42440950338469,28.337708569004526
2023,WAS,31.936734590853387,27.515817380638154
2024,ARI,32.674009949532696,28.198635306191672
2024,ATL,34.18459226289298,28.543487588049928
2024,BAL,32.587510085003125,31.735264949061175
2024,BUF,34.11687182685574,28.755890033296975
2024,CAR,33.75368414648056,25.802795476222165
2024,CHI,33.60710178122051,28.646848385493904
2024,CIN,36.103063066247,26.615575545057595
2024,CLE,34.214658908799535,26.99409201781674
2024,DAL,37.42502901937847,27.700208057618447
2024,DEN,34.61183031505872,24.411378622593887
2024,DET,36.83131828605782,27.731684371464933
2024,GB,34.11824211455416,26.840232607466064
2024,HOU,33.72292815443699,25.282330835974868
2024,IND,35.76366550881716,27.620869605737276
2024,JAX,34.99786276580854,24.947213099040525
2024,KC,35.62914800306263,26.949667109490854
2024,LA,34.57678847653572,26.950009809130698
2024,LAC,34.303988085876064,26.273263175521436
2024,LV,32.76730408837486,24.63324060092787
2024,MIA,34.901914382534514,26.188411582672842
2024,MIN,35.6085777962846,25.4963167740819
2024,NE,34.06827938069896,25.13415561537115
2024,NO,36.08445598646656,25.39542545383538
2024,NYG,33.64802182154549,27.548412516048085
2024,NYJ,34.098077085112116,27.658948395534683
2024,PHI,33.598538546573934,29.374664024970848
2024,PIT,32.95123068758753,27.834332278407686
2024,SEA,34.021301964552535,25.989525291163147
2024,SF,33.18505437914702,27.930541395892348
2024,TB,33.33434950211145,26.45845156171443
2024,TEN,33.42973802201169,24.47986603495565
2024,WAS,35.62914800306263,25.65622341572547
2025,ARI,32.567727481617645,26.848519928804855
2025,ATL,33.75679132448434,28.051573699332675
2025,BAL,31.699112322694788,30.234396336659664
2025,BUF,32.528361589391004,28.51333785812119
2025,CAR,34.68530387631558,25.309599780963524
2025,CHI,34.516235490657124,26.82080862292834
2025,CIN,38.833309717116016,25.512914531342844
2025,CLE,35.098832389359984,25.135574229691876
2025,DAL,33.871345008984946,28.06288861643871
2025,DEN,33.60685456061902,27.61466129420518
2025,DET,35.63736775444915,28.2923311160332
2025,GB,32.02736038662624,30.246292892156863
2025,HOU,33.13182617295277,25.262665872730214
2025,IND,33.62923766898951,31.31425288865546
2025,JAX,32.983302397663614,26.0373061629955
2025,KC,35.09431553459194,24.636487149492666
2025,LA,33.72428932510505,27.024533652239306
2025,LAC,34.12694297507028,26.415553288623144
2025,LV,34.52068911464042,24.58973266508308
2025,MIA,33.244904328546106,27.14685865031109
2025,MIN,34.184162161631896,26.368443423631707
2025,NE,33.00209582018962,27.907784837328727
2025,NO,33.71510277406417,26.861735726975173
2025,NYG,33.595773404859855,26.044798961251168
2025,NYJ,35.54987385963399,25.45164679070929
2025,PHI,30.502991392078222,31.14476481810973
2025,PIT,32.81085424672855,27.66699984433819
2025,SEA,35.418586181741055,25.17866634935224
2025,SF,33.981168777607195,26.406242655679698
2025,TB,31.43202198158675,28.486322611977485
2025,TEN,33.51843128811946,25.12482993798481
2025,WAS,30.993776292686192,31.331370071006344
