player_id,position,draft_year_24,talent_prior_fppg_24,rookie_actual_fppg_24,talent_prior_source_24
00-0032440,RB,2016,2.3798501496457494,0,chronological_college_combine_ridge
00-0032794,RB,2016,2.9917335120272988,0.9400000000000001,chronological_college_combine_ridge
00-0032940,RB,2016,3.9785612817376252,5.9,chronological_college_combine_ridge
00-0032450,RB,2016,0,3.972727272727273,chronological_college_combine_ridge
00-0032897,RB,2016,0.2515520808618341,1.188888888888889,chronological_college_combine_ridge
00-0032975,RB,2016,3.3637905698970814,1.4875,chronological_college_combine_ridge
00-0032365,WR,2016,1.1480798600425186,6.550000000000001,chronological_college_combine_ridge
00-0033009,WR,2016,5.2992903706220265,6.19375,chronological_college_combine_ridge
00-0032801,WR,2016,0.07174853039737861,0,chronological_college_combine_ridge
00-0032441,WR,2016,2.2289778685731743,0.8200000000000001,chronological_college_combine_ridge
00-0033060,WR,2016,3.7496968723405653,2.08,chronological_college_combine_ridge
00-0032966,WR,2016,5.817528197465729,7.6800000000000015,chronological_college_combine_ridge
00-0033111,WR,2016,4.454196826778089,1.7333333333333334,chronological_college_combine_ridge
00-0032795,WR,2016,1.6857713441780338,4.071428571428571,chronological_college_combine_ridge
00-0032423,WR,2016,2.7010001759476934,1.2375,chronological_college_combine_ridge
00-0032760,WR,2016,5.972231490814153,3.8000000000000003,chronological_college_combine_ridge
00-0032451,WR,2016,0.02170857306156404,0,chronological_college_combine_ridge
00-0033127,WR,2016,6.320616776925173,7.05,chronological_college_combine_ridge
00-0032791,WR,2016,0.7066787029228883,0.0071428571428571435,chronological_college_combine_ridge
00-0032977,WR,2016,2.352146874613106,1.0699999999999998,chronological_college_combine_ridge
00-0033040,WR,2016,1.3223278665112028,10.65625,chronological_college_combine_ridge
00-0032453,WR,2016,1.6808877901444101,0,chronological_college_combine_ridge
00-0032957,WR,2016,1.5668928719308786,0,chronological_college_combine_ridge
00-0033079,WR,2016,2.932908777298868,2.107142857142857,chronological_college_combine_ridge
