position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
WR,rb_receiving_matchup,-0.0013838475198439208,-0.003093565094864026,-6.102248931011411e-4,1.9058183070534232e-4,2024
WR,prior_catch_rate,-0.0024761449782646494,5.215289727538893e-4,5.066164859568456e-5,-4.613314306170328e-4,2024
WR,season_to_date_rec_td_rate,-0.0052540340313648555,0.0025873426274406106,3.6391864958969694e-4,4.1907047243683326e-4,2024
WR,tw_draft_capital_log_24,-0.005653068809176265,-8.260083782971606e-4,-2.9864149109030497e-4,5.00135844076303e-6,2024
WR,roll3_rec_td_rate,-0.00621467415950816,0.006795670526738166,0.0011343044216777232,4.3002962838204856e-4,2024
WR,roll3_ngs_cushion,-0.008947966052461473,-0.002829588011652303,-7.81039778191032e-4,-2.0684616109393575e-4,2024
WR,prior_yards_per_target,-0.009234003503027832,2.788065079455393e-4,-1.4223842228107872e-4,-9.972616276283282e-4,2024
TE,roll5_targets,0.037161473586862837,0.01669756205233804,0.0026850979086804707,0.004327586922268238,2024
TE,roll3_target_share,0.02778734574981782,0.015161795592460633,0.003004291959991264,0.0029553094113497678,2024
TE,tw_draft_capital_log_24,0.02477605234861417,0.014993371392653998,0.0034177183183095408,0.0032045343517450586,2024
TE,roll3_offense_snaps,0.015822579566268907,0.007103325918380439,0.00129561227238284,5.693274443097455e-4,2024
TE,xfp_gap_vs_base_232,0.012820843791805814,0.014603031497385288,0.004354587144791052,0.005322052256223138,2024
TE,team_skill_questionable_count,0.00560233743292556,0.005265761391651876,0.0015926431026549448,8.816177985320935e-4,2024
TE,favorite_rush_interaction,0.0044407830987370405,0.005982843561230429,0.0017381596373839587,4.223341763834136e-4,2024
TE,direct_gap_vs_base_232,0.004430803869042006,0.009732511089236931,0.002882598961008176,0.0024300506385911045,2024
TE,wr_volume_matchup,0.0025831351995332006,0.0017383691693533265,4.232804388209314e-4,-6.411282219172716e-5,2024
TE,tw_draft_overall_24,0.0024374296234276707,1.2994084396093322e-4,-4.4561487633210106e-5,-5.882509102710746e-4,2024
TE,implied_team_total,0.0019361733560051182,0.0032618856337410427,8.326304118993303e-4,-4.0479750495869826e-4,2024
