position,feature,n,coverage,outcome_pearson,outcome_spearman,partial_correlation_after_base,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score,target_year
WR,expected_team_plays,4863,1,0.004389558417911343,0.013344589224571527,-0.011469144483378449,-0.012135980214972236,1,0.01229139042758085,0.16964661959344726,2024
WR,def_rush_epa_allowed_roll8,4863,1,-0.0012602188701599378,-0.008960876002063528,-0.012497297161493597,-0.01293182097784033,1,0.00912007006192118,0.1695268253647058,2024
WR,def_qb_hit_rate_roll4,4863,1,-0.008597016464064884,-0.015734011819131245,-0.011016357324545633,-0.0110362539899965,1,0.012146214934185402,0.16941862824122622,2024
WR,roll3_targets,4863,1,0.5006900760708071,0.541359486594138,0.08918570651464561,0.029980469557867397,0.5,0.04854161105452758,0.16876259778099303,2024
WR,prior_yards_per_attempt,4863,1,0.018201666095590256,-0.04598139972031734,-0.007032975749427897,-0.0081928711901228,1,0.007252670960631747,0.168644883615337,2024
WR,wr_volume_matchup,4399,0.9045856467201316,0.03990142384519334,0.03985414892846233,0.006772697490475695,0.004893750883398355,1,0.006474493115301386,0.1681810695183122,2024
WR,def_pass_success_allowed_roll4,4863,1,0.017463955419631496,0.026738126717926622,0.007895290206393093,0.007357532263875716,1,0.010043222979848406,0.16794881208811407,2024
WR,season_to_date_interception_rate,4863,1,0.00880593631821883,0.007224154815149154,-0.008106078153489902,-0.008854525373722428,1,0.009919290237145044,0.1673114892461448,2024
WR,tw_combine_cone_24,4863,1,0.04490606383734304,0.048967328223189006,-6.214125253361435e-4,-0.002831153815551222,1,0.002304843954265501,0.16620933671270013,2024
WR,def_pass_epa_allowed_roll4,4863,1,0.011046387933549834,0.004601174398300001,0.00523130335437105,0.004901197202687207,1,0.007009426031731994,0.16475716241820842,2024
WR,def_redzone_pass_td_rate_roll4,4863,1,0.005364395089007296,0.010385330652828206,-0.002383685293477541,-0.0027396471216909763,1,0.003526066206924131,0.16276494610782125,2024
WR,preseason_prior_fppg,4863,1,0.5220942610978523,0.5380611723149162,0.083709375971766,0.018613882319259496,0.5,0.02657075475586897,0.16173907132193222,2024
WR,roll3_fppg,4863,1,0.505223241526351,0.5641258529681328,-0.014867879889602293,-0.031220534545886944,0.5,0.07265840262534924,0.15652782695782633,2024
WR,roll5_fppg,4863,1,0.5190467377094641,0.5767322821605702,0.042422191555107916,-0.00524256246958284,0.5,0.054875127922443596,0.15123436672058355,2024
WR,role_vs_prior_232,4863,1,0.20789922201009206,0.22179394430041088,-0.05252989146040313,-0.05925136950596731,0.5,0.0759110853031564,0.14537897093673255,2024
WR,roll3_fppg_sd,4863,1,0.299761049401878,0.3455213322642968,-0.03163775986948978,-0.041657076303585554,0.5,0.052799909724937186,0.14154278644597196,2024
WR,season_targets_prior,4863,1,0.3864079134296316,0.43848223170384765,0.0431093793775538,0.01578861764093849,0.5,0.02851841693911994,0.1396908886400998,2024
WR,prior_game_fppg,4863,1,0.4299570234065568,0.4957115413847821,0.02837007779072928,-8.771820085011073e-4,0.5,0.058249929364138045,0.1380607095537294,2024
WR,projected_td_points_232,4863,1,0.44456614046830584,0.5059218557920554,0.023669807018081402,-0.005797544734828489,0.5,0.02728149461945177,0.1372813184543316,2024
WR,target_trend,4863,1,0.026500917857563498,0.023759854577604964,-0.05343030772644969,-0.05641679861629722,0.5,0.0602877430716518,0.12401894668038695,2024
