feature,importance,importance_pct,position,family
roll3_targets,7517.084270478895,11.600763106024603,RB,opportunity_targets
roll3_target_share,7136.610112905273,11.013595208052552,RB,opportunity_targets
roll5_offense_pct,5426.413579759203,8.374329219817437,RB,opportunity_targets
roll3_offense_pct,5117.574150518884,7.897711833673843,RB,opportunity_targets
roll3_offense_snaps,4732.779855642542,7.303876870702776,RB,opportunity_targets
roll5_fppg,3064.976844771391,4.7300348143334645,RB,opportunity_targets
season_targets_prior,2610.5753591721955,4.028778343102488,RB,opportunity_targets
season_to_date_fppg,2480.30520729452,3.8277385359988645,RB,opportunity_targets
roll3_fppg,2250.56833244448,3.473196406902319,RB,opportunity_targets
roll3_carries,1417.4780882008656,2.1875273600133918,RB,opportunity_targets
roll5_carries,1374.86794045727,2.121769120235847,RB,opportunity_targets
roll3_carry_share,998.228987806859,1.5405199138969272,RB,opportunity_targets
prior_game_fppg,987.7131515660457,1.5242913177149595,RB,opportunity_targets
preseason_prior_fppg,628.7882739407506,0.9703794114001654,RB,opportunity_targets
opportunity_per_snap,611.860981674006,0.9442563162548668,RB,opportunity_targets
ngs_available,510.43601216768457,0.7877319243574157,RB,opportunity_targets
season_carries_prior,422.099831457449,0.6514068454787754,RB,opportunity_targets
roll3_team_pass_attempts,387.5800849482849,0.598134141951225,RB,opportunity_targets
roll3_team_carries,345.8032212656295,0.5336618703287743,RB,opportunity_targets
roll3_ypt,335.6609638342688,0.5180098007778715,RB,opportunity_targets
expected_team_plays,334.5674704642702,0.5163222638171405,RB,opportunity_targets
season_week,307.1363530810486,0.4739891086939462,RB,opportunity_targets
games_played_prior,302.58447085149874,0.4669644026335249,RB,opportunity_targets
roll3_rush_ypc,291.16078360379396,0.4493347626309,RB,opportunity_targets
prior_rush_td_rate,282.92647460788777,0.4366271402914168,RB,opportunity_targets
season_to_date_rush_ypc,263.48937792392974,0.4066307818649164,RB,opportunity_targets
roll3_catch_rate,243.92740621764605,0.3764417096813614,RB,opportunity_targets
roll3_ngs_rush_yoe_pa,216.40625401286695,0.3339696080466475,RB,opportunity_targets
roll3_rush_td_rate,213.39025227085097,0.3293151542082238,RB,opportunity_targets
target_trend,206.94062439114467,0.31936174641574766,RB,opportunity_targets
season_to_date_ypt,203.73404787649133,0.31441318748127856,RB,opportunity_targets
expected_team_pass_rate,202.28387742062256,0.31217520752567834,RB,opportunity_targets
prior_yards_per_target,202.13351937980843,0.31194316702303015,RB,opportunity_targets
role_fppg_trend,202.08816322885193,0.31187317100546336,RB,opportunity_targets
season_to_date_rush_td_rate,194.2577379176588,0.29978884338773093,RB,opportunity_targets
roll3_ngs_time_to_los,189.6313349223796,0.29264913292951394,RB,opportunity_targets
prior_yards_per_carry,188.51915748337748,0.2909327617226089,RB,opportunity_targets
prior_rec_td_rate,180.63752152578124,0.27876940311945003,RB,opportunity_targets
roll3_ngs_box_rate,179.54762349165162,0.27708741467170656,RB,opportunity_targets
underdog_target_interaction,170.10727687110014,0.26251857110906807,RB,opportunity_targets
roll3_fppg_sd,162.8317055109777,0.25129052353466186,RB,opportunity_targets
season_to_date_catch_rate,149.49166225637143,0.2307034613104745,RB,opportunity_targets
team_skill_out_count,142.5533945924174,0.21999595868850463,RB,opportunity_targets
team_spread_line,142.3488238963483,0.21968025434116187,RB,opportunity_targets
implied_team_total,138.11614969740015,0.21314816704239173,RB,opportunity_targets
prior_catch_rate,124.92509921893625,0.1927910383720059,RB,opportunity_targets
carry_trend,120.06026920615301,0.1852833746956771,RB,opportunity_targets
snap_trend,117.69855166818715,0.18163864694014537,RB,opportunity_targets
favorite_points,112.86480285233701,0.17417894941527884,RB,opportunity_targets
is_home,109.31933372010981,0.16870739342059393,RB,opportunity_targets
season_to_date_rec_td_rate,108.21237805006261,0.1669990807244706,RB,opportunity_targets
roll3_pass_attempts,100.69148329351002,0.15539243707425232,RB,opportunity_targets
roll5_pass_attempts,96.88012847552947,0.14951055218837478,RB,opportunity_targets
season_to_date_pass_td_rate,88.03925397301397,0.13586684579059594,RB,opportunity_targets
roll3_rec_td_rate,81.29456966122908,0.1254580912641614,RB,opportunity_targets
underdog_points,80.3762654306056,0.1240409154742664,RB,opportunity_targets
favorite_rush_interaction,74.66337997994945,0.11522448767057832,RB,opportunity_targets
prior_yards_per_attempt,56.644430588137766,0.08741668935511039,RB,opportunity_targets
team_skill_questionable_count,54.51744511857289,0.08413421257627726,RB,opportunity_targets
season_to_date_pass_ypa,40.1813174992103,0.0620099401342222,RB,opportunity_targets
rest_days,35.44790908729755,0.05470509324214849,RB,opportunity_targets
season_to_date_interception_rate,32.22732492528205,0.049734916963390816,RB,opportunity_targets
roll3_pass_attempt_share,31.84343463118466,0.04914247710236446,RB,opportunity_targets
practice_risk,27.883568242225788,0.0430314012840147,RB,opportunity_targets
prior_pass_td_rate,15.200056984480337,0.023457534055793868,RB,opportunity_targets
season_pass_attempts_prior,10.025195806580848,0.015471413843315407,RB,opportunity_targets
season_to_date_fppg,148885.29204158316,16.075313636362647,WR,legacy21
