Feature,Gain,Cover,Frequency,position
roll3_team_pass_attempts,0.0016116057345324127,0.004440932903319174,0.009486607142857142,WR
roll3_rec_td_rate,0.0014666255271518112,0.010317142672748395,0.012834821428571428,WR
preseason_deep_target_rate,0.0014406231572116916,0.007565752775308926,0.010602678571428572,WR
roll3_ngs_cushion,0.0013174709579657465,0.011449714489489594,0.01171875,WR
prior_rec_td_rate,0.0012761319276308723,0.0018601958598482766,0.009486607142857142,WR
season_to_date_catch_rate,0.0011591961626852589,0.0012751185291648508,0.007254464285714286,WR
def_rush_epa_allowed_roll8,0.001128896993832619,0.001276677276599747,0.008928571428571428,WR
practice_risk,0.0010637364611536112,0.020005845771592697,0.011160714285714286,WR
preseason_redzone_target_rate,9.998053556524295e-4,0.001188266214326393,0.009486607142857142,WR
wr_volume_matchup,9.900875175083382e-4,0.011258050016297661,0.01171875,WR
wr_deep_matchup,9.676090560462309e-4,0.012546218149433208,0.01171875,WR
roll3_team_carries,9.506533507969421e-4,0.010381899187324005,0.009486607142857142,WR
roll3_targets,9.183013032594184e-4,0.007820996371902367,0.004464285714285714,WR
team_skill_out_count,8.714033308460774e-4,0.01831417457562848,0.010602678571428572,WR
target_trend,8.277016113327536e-4,0.016953372514514748,0.009486607142857142,WR
team_spread_line,7.66782458665177e-4,0.0011618236931880874,0.007254464285714286,WR
role_fppg_trend,7.56081604217422e-4,0.012485266311494412,0.0078125,WR
te_middle_matchup,7.55782500774514e-4,0.005949579011518027,0.0078125,WR
underdog_target_interaction,7.424906887766502e-4,0.008276928145365483,0.0078125,WR
opp_pos_residual_roll8,7.423309257013283e-4,0.008931621320959269,0.007254464285714286,WR
roll3_carry_share,7.314598985456675e-4,0.009345754226746572,0.006696428571428571,WR
roll3_ngs_separation,7.288390504791396e-4,0.006083634993407057,0.0078125,WR
rest_days,7.095457878786394e-4,0.0041581968525616535,0.005022321428571429,WR
def_rush_success_allowed_roll4,7.089259190431133e-4,0.002808095537051161,0.006138392857142857,WR
roll3_ngs_air_yard_share,7.060748693874465e-4,0.005540755473478087,0.0078125,WR
