position,feature,standardized_coefficient,raw_unit_slope,lambda,target_year
WR,season_to_date_fppg,0.1403905746507467,0.029273360114466386,500,2025
WR,practice_risk,-0.1899000905844161,-1.4670316047861895,500,2025
WR,opp_pos_residual_roll8,0.047487038022920064,0.03604637196289707,500,2025
TE,roll5_targets,0.17962814385287681,0.07679748238332941,500,2025
TE,roll3_offense_snaps,0.22918180756544493,0.012537554601374575,500,2025
TE,season_targets_prior,-6.769274908118752e-6,-2.96586268484798e-7,500,2025
TE,direct_gap_vs_base_232,0.2940480862889339,0.2418930457945274,500,2025
TE,tw_draft_capital_log_24,0.06954630098776185,0.07038192486085847,500,2025
TE,roll3_ngs_cushion,0.06555172068586276,0.02149707119632009,500,2025
TE,tw_college_missing_24,-0.055914544954133484,-0.4396956265188536,500,2025
TE,legacy_gap_vs_base_232,0.30070909087713094,0.4306721060887627,500,2025
TE,roll3_target_share,0.1761322250191378,2.3679421137474974,500,2025
TE,role_fppg_trend,-0.406443124511493,-0.3297906679641846,500,2025
TE,model22_gap_vs_base_232,0.2692641090614826,0.7134537340627786,500,2025
TE,xfp_gap_vs_base_232,0.40013479558137865,0.3541375255572244,500,2025
TE,projected_opportunities_232,-0.24165469278442814,-0.13529319068907272,500,2025
TE,matchup_abs_232,0.13875926385501522,0.4081487560743227,500,2025
TE,projected_td_points_232,-0.38586000994817826,-0.473728031459263,500,2025
TE,roll3_rec_td_rate,-0.003866317216774109,-0.03324483291125002,500,2025
TE,preseason_prior_fppg,0.2244599639225701,0.0918875701691004,500,2025
TE,wr_volume_matchup,0.1640560108432479,8.435105890791947,500,2025
TE,season_to_date_rec_td_rate,-0.12870623202951184,-1.317815885837999,500,2025
TE,favorite_rush_interaction,0.10469659028232645,0.06407644773251443,500,2025
TE,roll3_carry_share,0.09136735431477537,4.733084632826566,500,2025
TE,roll3_team_carries,0.02932292544348047,0.003661825060979101,500,2025
TE,roll5_fppg,-0.11561603674848964,-0.03350356962094866,500,2025
TE,expected_team_plays,-0.08563171974149093,-0.005733565928022505,500,2025
