position,feature,n,coverage,outcome_pearson,outcome_spearman,residual_correlation,year_sign_stability,median_year_abs_residual_cor,signal_score
RB,xfp_gap_vs_base_232,6166,1,-0.008420289144835972,-0.013734917586599062,0.076663457063988,0.75,0.052212902819216395,0.1553836881171786
RB,roll3_ypt,6166,1,0.20600788733373854,0.320569637361889,0.0017592349301842945,0.5,0.017267118539165363,0.1530681437759991
RB,prior_pass_td_rate,6166,1,0.11954903975454143,-0.04760818258948387,0.011979542324208052,0.75,0.041384161503143155,0.14926101926276344
RB,season_pass_attempts_prior,6166,1,0.09194376924618244,0.09529152047145065,-0.013956111789820386,0.75,0.012556906897940043,0.1480208019161001
RB,qb_pass_matchup,6166,1,0.03732947133346196,0.0037470142147509548,0.034151045414510896,0.75,0.045970860697083615,0.13963400305203152
RB,qb_pressure_matchup,6166,1,0.051407522673192325,0.05671205114573086,-0.018538485797087667,0.75,0.02524536454672859,0.1394256552820246
RB,opp_pos_residual_roll8,6166,1,0.03411249330897416,0.030970471958157574,0.027889830308300445,0.75,0.026954337301254613,0.1376025627994549
RB,roll3_pass_attempt_share,6166,1,0.0533328978477553,0.05661863153773316,-0.013614370406512455,0.75,0.024980740922763995,0.13751869817233092
RB,prior_yards_per_carry,6166,1,0.17738778322115725,0.20443250273893634,0.008012323087236968,0.5,0.021566766005666017,0.13722392329830388
RB,roll3_pass_attempts,6166,1,0.0539052821330326,0.056609994551281025,-0.011357741077128152,0.75,0.018542420785679775,0.13596137569337524
RB,legacy_gap_vs_base_232,6166,1,-0.08869565653390693,-0.07680525305594543,0.01842848383107186,0.6666666666666666,0.022774492081227345,0.13575211547492175
RB,matchup_role_interaction,6166,1,0.042657866526855735,0.013746058260735852,0.017355449469973735,0.75,0.03748154146054201,0.13338604937366472
RB,opp_pos_residual_roll4,6166,1,0.03048694736561663,0.024983492028015666,0.01786917745735175,0.75,0.035252118848908165,0.132552011309872
RB,target_trend,6166,1,-0.0020734392038193623,0.01516329513247669,-0.028902570933749774,0.75,0.03392684270585027,0.13109165566335712
RB,is_home,6166,1,0.02586207763959294,0.024330882140088182,0.018488751649920247,0.75,0.016856399103708584,0.13008045798477227
RB,model22_gap_vs_base_232,6166,1,0.028981490165588413,0.038209104873229344,0.038502329178096845,0.6666666666666666,0.004358241534558917,0.1275636330981929
RB,expected_team_plays,6166,1,0.014648031650598182,0.01791765381685715,-0.013200286099121813,0.75,0.02684041597381395,0.12591093449711674
RB,rb_receiving_matchup,6166,1,0.03486156079516258,0.007250740221522359,0.006004307956003178,0.75,0.029428878079068167,0.1252899961578202
RB,roll3_rec_td_rate,6166,1,0.09973208814537012,0.2050552774076866,-0.014019793897502906,0.5,0.013365203089122795,0.1252038367178776
RB,def_redzone_pass_td_rate_roll4,6166,1,0.0037816645675721803,-0.012298074296402776,0.013791016241583989,0.75,0.0294215716600705,0.12380458301245116
RB,practice_risk,6166,1,0.0492059479125585,0.07505620276396373,-0.007458222850109481,0.6666666666666666,0.008084966312489174,0.12202851186973436
RB,wr_volume_matchup,6166,1,0.09035431514617405,0.09109789465970447,0.030834197532641362,0.5,0.04423216756881038,0.12049412973204551
