player_id,player_display_name,position,current_team,dynasty_value,year1_fppg,year3_fppg,elite_probability,starter_probability,breakout_probability,confidence,overall_rank,age,is_rookie,projected_fppg,model_version,gsis_id,normalized_name,dynasty_replacement_fppg,dynasty_year1_surplus,dynasty_career_surplus_points,dynasty_career_projected_points,dynasty_elite_multiplier,dynasty_format_multiplier,dynasty_age_survival_year4,dynasty_value_method,model_dynasty_value,model_dynasty_rank,sleeper_id,market_rank_proxy,market_value_proxy,model_market_gap,model_market_gap_pct,value_signal
00-0035700,Josh Jacobs,RB,GB,492.1973810000326,15.437260429108624,5.322808410691858,0.5675072160125894,0.8714947742889495,0.14021719528012253,Medium,101,28.553045859000683,0,15.437260429108624,2.2,00-0035700,joshjacobs,10.235634182500744,5.20162624660788,110.82858721567402,509.5658030753132,1.2972636905330275,1,0.5120000000000001,career_surplus_v2,3460.331745323278,50,NA,NA,NA,NA,NA,MODEL
00-0040784,Quinshon Judkins,RB,CLE,714.1759874052724,12.05058024661882,12.05058024661882,0.19567706128829315,0.4998947702657512,0.19846258396429117,Medium,42,22.84188911704312,0,12.05058024661882,2.2,00-0040784,quinshonjudkins,10.235634182500744,1.8149460641180752,83.69014560561173,788.4310047972734,1.2409487944837798,1,0.8287289583810994,career_surplus_v2,3432.2063667539187,51,NA,NA,NA,NA,NA,MODEL
00-0039923,J.J. McCarthy,QB,MIN,751.3298080434009,14.21263051722574,14.498304390621978,0.05488721221494915,0.18829655548944668,0.22670176818900753,Low,35,23.613963039014372,0,14.21263051722574,2.2,00-0039923,jjmccarthy,16.104734588130846,0,0,1355.9127000607018,1.2276759683465222,1.03,1,career_surplus_v2,3221.1922216169987,52,NA,NA,NA,NA,NA,MODEL
00-0040128,Tyler Warren,TE,IND,571.6768519627153,8.064540822269247,8.064540822269247,0.3447978136744374,0.6062846536794092,0.17223513152233513,High,73,24.27378507871321,0,8.064540822269247,2.2,00-0040128,tylerwarren,6.865775431248695,1.1987653910205527,72.40429805344858,691.8112618542125,1.2504817399004544,1,1,career_surplus_v2,3053.6364867171183,53,NA,NA,NA,NA,NA,MODEL
00-0033288,George Kittle,TE,SF,388.9249574130939,10.41551995509289,6.635277573944827,0.48090987844248606,0.6564435447425377,0.02608239302027733,Medium,160,32.8952772073922,0,10.41551995509289,2.2,00-0033288,georgekittle,6.865775431248695,3.549744523844195,91.17368936779705,490.1703046520773,1.326474031063322,1,0.681472,career_surplus_v2,3000.5131255888123,54,NA,NA,NA,NA,NA,MODEL
00-0039150,Bryce Young,QB,CAR,944.9507928392352,13.681276378326595,13.95627003353096,0.05131947335894568,0.15968818594551193,0.28013564891560533,Low,22,25.10335386721424,0,13.681276378326595,2.2,00-0039150,bryceyoung,16.104734588130846,0,0,1300.0793190983734,1.2022583182933035,1.03,1,career_surplus_v2,2998.808478636149,55,NA,NA,NA,NA,NA,MODEL
00-0038117,Wan'Dale Robinson,WR,TEN,655.3376284532981,9.898665244705684,9.898665244705684,0.1571264626352161,0.5033774096239327,0.16430573563146816,High,51,25.65366187542779,0,9.898665244705684,2.2,00-0038117,wandalerobinson,8.41620867380963,1.4824565708960549,73.8702757283973,721.5583742536289,1.209714003925992,1,0.9129900431301046,career_surplus_v2,2998.6342821412877,56,NA,NA,NA,NA,NA,MODEL
00-0038544,Quentin Johnston,WR,LAC,577.2478091123329,9.70749036804858,9.70749036804858,0.18442336734683148,0.6355079387756286,0.08460152089160147,Medium,71,24.985626283367555,0,9.70749036804858,2.2,00-0038544,quentinjohnston,8.41620867380963,1.2912816942389505,70.68000456504271,762.3259419894272,1.2092946026147084,1,1,career_surplus_v2,2971.774357190581,57,NA,NA,NA,NA,NA,MODEL
00-0039163,C.J. Stroud,QB,HOU,867.5242118123092,13.598113598296113,13.871435681621865,0.07604722084256003,0.20048351113759655,0.17506944376739614,Low,28,24.91170431211499,0,13.598113598296113,2.2,00-0039163,cjstroud,16.104734588130846,0,0,1297.2865862129538,1.196138906242769,1.03,1,career_surplus_v2,2961.968533919363,58,NA,NA,NA,NA,NA,MODEL
00-0036442,Joe Burrow,QB,CIN,742.6818423312935,16.040696342703026,16.040696342703026,0.1083089350042634,0.43090628535391473,0.19699261924523292,Low,36,29.724845995893222,0,16.040696342703026,2.2,00-0036442,joeburrow,16.104734588130846,0,0,1275.4655877272435,1.1901134943773426,1.03,0.9339235294229267,career_surplus_v2,2898.3620328474008,59,NA,NA,NA,NA,NA,MODEL
